,pricing,size,address,link
118,"$975,000",6 bds3 ba-- sqft - Multi-family home for sale,"829 New Lots Ave, East New York, NY 11208",https://www.zillow.com/homedetails/829-New-Lots-Ave-Brooklyn-NY-11208/30641259_zpid/
119,"$3,200,000","9 bds8 ba6,700 sqft - Multi-family home for sale","67 Driggs Avenue UNIT 7, Greenpoint, NY 11222",https://www.zillow.com/homedetails/67-Driggs-Ave-7-Brooklyn-NY-11222/2060432267_zpid/
120,"$495,000",2 bds1 ba593 sqft - Condo for sale,"785 E 34th St APT 4A, Brooklyn, NY 11210",https://www.zillow.com/homedetails/785-E-34th-St-APT-4A-Brooklyn-NY-11210/2061542708_zpid/
121,"$2,950,000","4 bds7 ba3,300 sqft - House for sale","10 Arlington Pl, Brooklyn, NY 11216",https://www.zillow.com/homedetails/10-Arlington-Pl-Brooklyn-NY-11216/30610671_zpid/
122,"$1,500,000","3 bds3 ba3,160 sqft - Multi-family home for sale","305 83rd St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/305-83rd-St-Brooklyn-NY-11209/30698536_zpid/
123,"$468,000",1 bd1 ba447 sqft - Condo for sale,"1759 Bay Ridge Pkwy #4B, Brooklyn, NY 11204",https://www.zillow.com/homedetails/1759-Bay-Ridge-Pkwy-4B-Brooklyn-NY-11204/2060451629_zpid/
124,"$899,000",2 bds1 ba-- sqft - Condo for sale,"454 15th St APT 1R, Brooklyn, NY 11215",https://www.zillow.com/homedetails/454-15th-St-APT-1R-Brooklyn-NY-11215/245016856_zpid/
125,"$2,295,000","3 bds2 ba1,272 sqft - Condo for sale","101 Douglass St, Brooklyn, NY 11231",https://www.zillow.com/homedetails/101-Douglass-St-Brooklyn-NY-11231/30571774_zpid/
126,"$1,599,000","6 bds3 ba1,960 sqft - Multi-family home for sale","1472 84th St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/1472-84th-St-Brooklyn-NY-11228/30710700_zpid/
127,"$1,750,000","3 bds4 ba2,472 sqft - House for sale","216 Dover St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/216-Dover-St-Brooklyn-NY-11235/30790873_zpid/
128,"$574,900",2 bds1 ba729 sqft - Foreclosure,"306 Lincoln Road UNIT 2L, Prospect Lefferts Gardens, NY 11225",https://www.zillow.com/homedetails/306-Lincoln-Rd-APT-2L-Brooklyn-NY-11225/83049371_zpid/
129,"$1,350,000","5 bds2 ba2,365 sqft - Multi-family home for sale","190A Decatur Street, Bedford-Stuyvesant, NY 11233",https://www.zillow.com/homedetails/190A-Decatur-St-Brooklyn-NY-11233/2062252039_zpid/
130,"$669,000",1 bd1 ba741 sqft - Condo for sale,"764 Metropolitan Ave #TOWNHOUSE, Brooklyn, NY 11211",https://www.zillow.com/homedetails/764-Metropolitan-Ave-TOWNHOUSE-Brooklyn-NY-11211/2061484997_zpid/
131,"$950,000",2 bds1 ba-- sqft - Condo for sale,"232 President St APT 3R, Brooklyn, NY 11231",https://www.zillow.com/homedetails/232-President-St-APT-3R-Brooklyn-NY-11231/119911395_zpid/
132,"$1,499,999","6 bds4 ba2,760 sqft - Multi-family home for sale","1141 E 26th St, Brooklyn, NY 11210",https://www.zillow.com/homedetails/1141-E-26th-St-Brooklyn-NY-11210/30753165_zpid/
133,"$11,850,000","5 bds5 ba6,000 sqft - Townhouse for sale","104 Willow St, Brooklyn, NY 11201",https://www.zillow.com/homedetails/104-Willow-St-Brooklyn-NY-11201/30567435_zpid/
